Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,50,10,5,100,34.03452
0.001,50,10,10,5,34.06406
0.001,50,10,10,10,34.03936
0.001,50,10,10,20,34.03936
0.001,50,10,10,30,34.03936
0.001,50,10,10,100,34.03936
0.001,50,10,20,5,34.068239999999996
0.001,50,10,20,10,34.058800000000005
0.001,50,10,20,20,34.058800000000005
0.001,50,10,20,30,34.058800000000005
0.001,50,10,20,100,34.058800000000005
0.001,50,20,1,5,34.06276
0.001,50,20,1,10,34.0352
0.001,50,20,1,20,34.0352
0.001,50,20,1,30,34.0352
0.001,50,20,1,100,34.0352
0.001,50,20,5,5,34.06323999999999
0.001,50,20,5,10,34.035880000000006
0.001,50,20,5,20,34.035880000000006
0.001,50,20,5,30,34.035880000000006
0.001,50,20,5,100,34.035880000000006
0.001,50,20,10,5,34.06406
0.001,50,20,10,10,34.03936
0.001,50,20,10,20,34.03936
0.001,50,20,10,30,34.03936
0.001,50,20,10,100,34.03936
0.001,50,20,20,5,34.068239999999996
0.001,50,20,20,10,34.058800000000005
0.001,50,20,20,20,34.058800000000005
0.001,50,20,20,30,34.058800000000005
0.001,50,20,20,100,34.058800000000005
0.001,50,40,1,5,34.0678
0.001,50,40,1,10,34.057919999999996
0.001,50,40,1,20,34.057919999999996
0.001,50,40,1,30,34.057919999999996
0.001,50,40,1,100,34.057919999999996
0.001,50,40,5,5,34.0678
0.001,50,40,5,10,34.057919999999996
0.001,50,40,5,20,34.057919999999996
0.001,50,40,5,30,34.057919999999996
0.001,50,40,5,100,34.057919999999996
0.001,50,40,10,5,34.06822
0.001,50,40,10,10,34.058319999999995
0.001,50,40,10,20,34.058319999999995
0.001,50,40,10,30,34.058319999999995
0.001,50,40,10,100,34.058319999999995
0.001,50,40,20,5,34.068239999999996
0.001,50,40,20,10,34.058800000000005
0.001,50,40,20,20,34.058800000000005
0.001,50,40,20,30,34.058800000000005
0.001,50,40,20,100,34.058800000000005
0.001,100,2,1,5,32.45498
0.001,100,2,1,10,32.418
0.001,100,2,1,20,32.41706
0.001,100,2,1,30,32.41714
0.001,100,2,1,100,32.41724
0.001,100,2,5,5,32.45572000000001
0.001,100,2,5,10,32.39672
0.001,100,2,5,20,32.39672
0.001,100,2,5,30,32.39672
0.001,100,2,5,100,32.39672
0.001,100,2,10,5,32.45804
0.001,100,2,10,10,32.40592
0.001,100,2,10,20,32.40592
0.001,100,2,10,30,32.40592
0.001,100,2,10,100,32.40592
0.001,100,2,20,5,32.46546
