alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,False,20000,0.1,sag,15212.769499999999
0.001,True,False,20000,0.1,saga,11982.42648
0.001,True,False,50000,0.0001,auto,12352.09694
0.001,True,False,50000,0.0001,svd,12352.09694
0.001,True,False,50000,0.0001,cholesky,12352.09694
0.001,True,False,50000,0.0001,lsqr,12351.761159999998
0.001,True,False,50000,0.0001,sparse_cg,12351.761159999998
0.001,True,False,50000,0.0001,sag,12353.87216
0.001,True,False,50000,0.0001,saga,12352.003219999999
0.001,True,False,50000,0.001,auto,12352.09694
0.001,True,False,50000,0.001,svd,12352.09694
0.001,True,False,50000,0.001,cholesky,12352.09694
0.001,True,False,50000,0.001,lsqr,12355.638
0.001,True,False,50000,0.001,sparse_cg,12355.638
0.001,True,False,50000,0.001,sag,12351.28262
0.001,True,False,50000,0.001,saga,12360.872199999998
0.001,True,False,50000,0.01,auto,12352.09694
0.001,True,False,50000,0.01,svd,12352.09694
0.001,True,False,50000,0.01,cholesky,12352.09694
0.001,True,False,50000,0.01,lsqr,12344.2634
0.001,True,False,50000,0.01,sparse_cg,12343.5996
0.001,True,False,50000,0.01,sag,12564.486200000001
0.001,True,False,50000,0.01,saga,12076.5356
0.001,True,False,50000,0.1,auto,12352.09694
0.001,True,False,50000,0.1,svd,12352.09694
0.001,True,False,50000,0.1,cholesky,12352.09694
0.001,True,False,50000,0.1,lsqr,12342.69906
0.001,True,False,50000,0.1,sparse_cg,11193.717139999999
0.001,True,False,50000,0.1,sag,16960.282099999997
0.001,True,False,50000,0.1,saga,11942.52932
0.001,False,True,5000,0.0001,auto,12493.6437
0.001,False,True,5000,0.0001,svd,12493.6437
0.001,False,True,5000,0.0001,cholesky,12493.6437
0.001,False,True,5000,0.0001,lsqr,12498.215240000001
0.001,False,True,5000,0.0001,sparse_cg,12498.218760000002
0.001,False,True,5000,0.0001,sag,12493.45432
0.001,False,True,5000,0.0001,saga,12493.558860000001
0.001,False,True,5000,0.001,auto,12493.6437
0.001,False,True,5000,0.001,svd,12493.6437
0.001,False,True,5000,0.001,cholesky,12493.6437
0.001,False,True,5000,0.001,lsqr,12494.455320000001
0.001,False,True,5000,0.001,sparse_cg,12495.02836
0.001,False,True,5000,0.001,sag,12461.247039999998
0.001,False,True,5000,0.001,saga,12514.529480000001
0.001,False,True,5000,0.01,auto,12493.6437
0.001,False,True,5000,0.01,svd,12493.6437
0.001,False,True,5000,0.01,cholesky,12493.6437
0.001,False,True,5000,0.01,lsqr,12495.02836
0.001,False,True,5000,0.01,sparse_cg,11375.28228
0.001,False,True,5000,0.01,sag,12482.78722
0.001,False,True,5000,0.01,saga,12362.20118
0.001,False,True,5000,0.1,auto,12493.6437
0.001,False,True,5000,0.1,svd,12493.6437
0.001,False,True,5000,0.1,cholesky,12493.6437
0.001,False,True,5000,0.1,lsqr,11373.853720000001
0.001,False,True,5000,0.1,sparse_cg,11415.040420000001
