N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,20,20,1,sqrt,0.3,10.402
10,20,20,1,log2,0,6.944
10,20,20,1,log2,0.1,9.832
10,20,20,1,log2,0.2,10.27
10,20,20,1,log2,0.3,10.406
10,20,20,5,50,0,6.686
10,20,20,5,50,0.1,9.29
10,20,20,5,50,0.2,9.982
10,20,20,5,50,0.3,10.398
10,20,20,5,sqrt,0,7.022
10,20,20,5,sqrt,0.1,9.89
10,20,20,5,sqrt,0.2,10.292
10,20,20,5,sqrt,0.3,10.416
10,20,20,5,log2,0,6.976
10,20,20,5,log2,0.1,10.002
10,20,20,5,log2,0.2,10.288
10,20,20,5,log2,0.3,10.408
10,20,20,10,50,0,6.768
10,20,20,10,50,0.1,9.276
10,20,20,10,50,0.2,9.574
10,20,20,10,50,0.3,10.41
10,20,20,10,sqrt,0,7.164
10,20,20,10,sqrt,0.1,9.796
10,20,20,10,sqrt,0.2,10.166
10,20,20,10,sqrt,0.3,10.402
10,20,20,10,log2,0,7.162
10,20,20,10,log2,0.1,9.792
10,20,20,10,log2,0.2,10.296
10,20,20,10,log2,0.3,10.41
10,20,20,20,50,0,7.16
10,20,20,20,50,0.1,9.276
10,20,20,20,50,0.2,9.698
10,20,20,20,50,0.3,10.398
10,20,20,20,sqrt,0,7.534
10,20,20,20,sqrt,0.1,9.934
10,20,20,20,sqrt,0.2,10.22
10,20,20,20,sqrt,0.3,10.4
10,20,20,20,log2,0,7.47
10,20,20,20,log2,0.1,10.048
10,20,20,20,log2,0.2,10.164
10,20,20,20,log2,0.3,10.4
10,20,40,1,50,0,7.076
10,20,40,1,50,0.1,9.266
10,20,40,1,50,0.2,9.798
10,20,40,1,50,0.3,10.404
10,20,40,1,sqrt,0,7.286
10,20,40,1,sqrt,0.1,9.792
10,20,40,1,sqrt,0.2,10.312
10,20,40,1,sqrt,0.3,10.418
10,20,40,1,log2,0,7.31
10,20,40,1,log2,0.1,9.784
10,20,40,1,log2,0.2,10.268
10,20,40,1,log2,0.3,10.414
10,20,40,5,50,0,7.006
10,20,40,5,50,0.1,9.284
10,20,40,5,50,0.2,9.704
10,20,40,5,50,0.3,10.41
10,20,40,5,sqrt,0,7.268
10,20,40,5,sqrt,0.1,9.97
10,20,40,5,sqrt,0.2,10.138
10,20,40,5,sqrt,0.3,10.412
10,20,40,5,log2,0,7.22
10,20,40,5,log2,0.1,9.912
10,20,40,5,log2,0.2,10.102
10,20,40,5,log2,0.3,10.402
10,20,40,10,50,0,7.08
10,20,40,10,50,0.1,9.288
10,20,40,10,50,0.2,9.96
10,20,40,10,50,0.3,10.408
10,20,40,10,sqrt,0,7.316
10,20,40,10,sqrt,0.1,9.906
10,20,40,10,sqrt,0.2,10.158
10,20,40,10,sqrt,0.3,10.398
10,20,40,10,log2,0,7.376
10,20,40,10,log2,0.1,9.868
10,20,40,10,log2,0.2,10.224
10,20,40,10,log2,0.3,10.402
10,20,40,20,50,0,7.212
10,20,40,20,50,0.1,9.252
10,20,40,20,50,0.2,9.696
10,20,40,20,50,0.3,10.412
10,20,40,20,sqrt,0,7.482
10,20,40,20,sqrt,0.1,10.006
10,20,40,20,sqrt,0.2,10.2
10,20,40,20,sqrt,0.3,10.408
10,20,40,20,log2,0,7.476
10,20,40,20,log2,0.1,9.846
10,20,40,20,log2,0.2,10.186
10,20,40,20,log2,0.3,10.406
10,30,2,1,50,0,6.006
10,30,2,1,50,0.1,9.276
10,30,2,1,50,0.2,9.788
10,30,2,1,50,0.3,10.412
10,30,2,1,sqrt,0,6.19
10,30,2,1,sqrt,0.1,10.042
10,30,2,1,sqrt,0.2,10.282
10,30,2,1,sqrt,0.3,10.404
10,30,2,1,log2,0,6.172
10,30,2,1,log2,0.1,9.732
10,30,2,1,log2,0.2,10.142
10,30,2,1,log2,0.3,10.402
10,30,2,5,50,0,6.54
10,30,2,5,50,0.1,9.264
10,30,2,5,50,0.2,9.762
