alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,False,50000,0.1,auto,13.815199999999999
0.001,True,False,50000,0.1,svd,13.815199999999999
0.001,True,False,50000,0.1,cholesky,13.815199999999999
0.001,True,False,50000,0.1,lsqr,35.81928
0.001,True,False,50000,0.1,sparse_cg,35.81928
0.001,True,False,50000,0.1,sag,36.79112
0.001,True,False,50000,0.1,saga,35.82468
0.001,False,True,5000,0.0001,auto,17.10718
0.001,False,True,5000,0.0001,svd,17.10718
0.001,False,True,5000,0.0001,cholesky,17.10718
0.001,False,True,5000,0.0001,lsqr,84.65926
0.001,False,True,5000,0.0001,sparse_cg,84.65926
0.001,False,True,5000,0.0001,sag,84.62142000000001
0.001,False,True,5000,0.0001,saga,84.6403
0.001,False,True,5000,0.001,auto,17.10718
0.001,False,True,5000,0.001,svd,17.10718
0.001,False,True,5000,0.001,cholesky,17.10718
0.001,False,True,5000,0.001,lsqr,84.65926
0.001,False,True,5000,0.001,sparse_cg,84.65926
0.001,False,True,5000,0.001,sag,84.65169999999999
0.001,False,True,5000,0.001,saga,84.65547999999998
0.001,False,True,5000,0.01,auto,17.10718
0.001,False,True,5000,0.01,svd,17.10718
0.001,False,True,5000,0.01,cholesky,17.10718
0.001,False,True,5000,0.01,lsqr,84.65926
0.001,False,True,5000,0.01,sparse_cg,84.65926
0.001,False,True,5000,0.01,sag,84.42548000000002
0.001,False,True,5000,0.01,saga,84.7269
0.001,False,True,5000,0.1,auto,17.10718
0.001,False,True,5000,0.1,svd,17.10718
0.001,False,True,5000,0.1,cholesky,17.10718
0.001,False,True,5000,0.1,lsqr,84.65926
0.001,False,True,5000,0.1,sparse_cg,84.65926
0.001,False,True,5000,0.1,sag,86.27852
0.001,False,True,5000,0.1,saga,85.01126
0.001,False,True,15000,0.0001,auto,17.10718
0.001,False,True,15000,0.0001,svd,17.10718
0.001,False,True,15000,0.0001,cholesky,17.10718
0.001,False,True,15000,0.0001,lsqr,84.65926
0.001,False,True,15000,0.0001,sparse_cg,84.65926
0.001,False,True,15000,0.0001,sag,84.58368
0.001,False,True,15000,0.0001,saga,84.62142000000001
0.001,False,True,15000,0.001,auto,17.10718
0.001,False,True,15000,0.001,svd,17.10718
0.001,False,True,15000,0.001,cholesky,17.10718
0.001,False,True,15000,0.001,lsqr,84.65926
