Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,100,10,10,5,571.38016
0.001,100,10,10,10,571.3571
0.001,100,10,10,20,571.3573
0.001,100,10,10,30,571.3573
0.001,100,10,10,100,571.3573
0.001,100,10,20,5,571.40228
0.001,100,10,20,10,571.38886
0.001,100,10,20,20,571.38848
0.001,100,10,20,30,571.38848
0.001,100,10,20,100,571.38848
0.001,100,20,1,5,571.37166
0.001,100,20,1,10,571.34604
0.001,100,20,1,20,571.34532
0.001,100,20,1,30,571.34532
0.001,100,20,1,100,571.34532
0.001,100,20,5,5,571.37644
0.001,100,20,5,10,571.3530800000001
0.001,100,20,5,20,571.3523600000001
0.001,100,20,5,30,571.3523600000001
0.001,100,20,5,100,571.3523600000001
0.001,100,20,10,5,571.38016
0.001,100,20,10,10,571.3571
0.001,100,20,10,20,571.3573
0.001,100,20,10,30,571.3573
0.001,100,20,10,100,571.3573
0.001,100,20,20,5,571.40228
0.001,100,20,20,10,571.38886
0.001,100,20,20,20,571.38848
0.001,100,20,20,30,571.38848
0.001,100,20,20,100,571.38848
0.001,100,40,1,5,571.37416
0.001,100,40,1,10,571.3531
0.001,100,40,1,20,571.3532
0.001,100,40,1,30,571.3532
0.001,100,40,1,100,571.3532
0.001,100,40,5,5,571.37708
0.001,100,40,5,10,571.35518
0.001,100,40,5,20,571.3552999999999
0.001,100,40,5,30,571.3552999999999
0.001,100,40,5,100,571.3552999999999
0.001,100,40,10,5,571.37932
0.001,100,40,10,10,571.3588400000001
0.001,100,40,10,20,571.35902
0.001,100,40,10,30,571.35902
0.001,100,40,10,100,571.35902
0.001,100,40,20,5,571.40228
0.001,100,40,20,10,571.38886
0.001,100,40,20,20,571.38848
0.001,100,40,20,30,571.38848
0.001,100,40,20,100,571.38848
0.001,200,2,1,5,517.04106
0.001,200,2,1,10,516.9790399999999
0.001,200,2,1,20,516.9887
0.001,200,2,1,30,516.98826
0.001,200,2,1,100,516.98834
0.001,200,2,5,5,517.0541000000001
0.001,200,2,5,10,517.00584
0.001,200,2,5,20,517.007
0.001,200,2,5,30,517.007
0.001,200,2,5,100,517.007
0.001,200,2,10,5,517.06134
0.001,200,2,10,10,517.0156000000001
0.001,200,2,10,20,517.01684
0.001,200,2,10,30,517.01684
0.001,200,2,10,100,517.01684
0.001,200,2,20,5,517.10168
0.001,200,2,20,10,517.07368
0.001,200,2,20,20,517.07296
0.001,200,2,20,30,517.07296
0.001,200,2,20,100,517.07296
0.001,200,6,1,5,517.03856
0.001,200,6,1,10,516.984
0.001,200,6,1,20,516.98722
0.001,200,6,1,30,516.98722
0.001,200,6,1,100,516.98722
0.001,200,6,5,5,517.0541000000001
0.001,200,6,5,10,517.00584
0.001,200,6,5,20,517.007
0.001,200,6,5,30,517.007
0.001,200,6,5,100,517.007
0.001,200,6,10,5,517.06134
0.001,200,6,10,10,517.0156000000001
0.001,200,6,10,20,517.01684
0.001,200,6,10,30,517.01684
0.001,200,6,10,100,517.01684
0.001,200,6,20,5,517.10168
0.001,200,6,20,10,517.07368
0.001,200,6,20,20,517.07296
0.001,200,6,20,30,517.07296
0.001,200,6,20,100,517.07296
0.001,200,10,1,5,517.04242
0.001,200,10,1,10,516.99302
0.001,200,10,1,20,516.9933
0.001,200,10,1,30,516.9933
0.001,200,10,1,100,516.9933
0.001,200,10,5,5,517.0541000000001
0.001,200,10,5,10,517.00584
0.001,200,10,5,20,517.007
0.001,200,10,5,30,517.007
0.001,200,10,5,100,517.007
0.001,200,10,10,5,517.06134
0.001,200,10,10,10,517.0156000000001
0.001,200,10,10,20,517.01684
0.001,200,10,10,30,517.01684
0.001,200,10,10,100,517.01684
0.001,200,10,20,5,517.10168
0.001,200,10,20,10,517.07368
0.001,200,10,20,20,517.07296
0.001,200,10,20,30,517.07296
0.001,200,10,20,100,517.07296
0.001,200,20,1,5,517.04418
0.001,200,20,1,10,516.99482
0.001,200,20,1,20,516.99288
0.001,200,20,1,30,516.99288
0.001,200,20,1,100,516.99288
0.001,200,20,5,5,517.05382
0.001,200,20,5,10,517.0091
0.001,200,20,5,20,517.00746
0.001,200,20,5,30,517.00746
0.001,200,20,5,100,517.00746
0.001,200,20,10,5,517.06134
0.001,200,20,10,10,517.0156000000001
0.001,200,20,10,20,517.01684
0.001,200,20,10,30,517.01684
0.001,200,20,10,100,517.01684
0.001,200,20,20,5,517.10168
0.001,200,20,20,10,517.07368
0.001,200,20,20,20,517.07296
0.001,200,20,20,30,517.07296
0.001,200,20,20,100,517.07296
0.001,200,40,1,5,517.05048
0.001,200,40,1,10,517.00906
0.001,200,40,1,20,517.00942
0.001,200,40,1,30,517.00942
0.001,200,40,1,100,517.00942
0.001,200,40,5,5,517.0563
0.001,200,40,5,10,517.0130999999999
0.001,200,40,5,20,517.0134
0.001,200,40,5,30,517.0134
0.001,200,40,5,100,517.0134
0.001,200,40,10,5,517.06066
0.001,200,40,10,10,517.0192599999999
0.001,200,40,10,20,517.01952
0.001,200,40,10,30,517.01952
0.001,200,40,10,100,517.01952
0.001,200,40,20,5,517.10168
0.001,200,40,20,10,517.07368
0.001,200,40,20,20,517.07296
0.001,200,40,20,30,517.07296
0.001,200,40,20,100,517.07296
0.001,350,2,1,5,445.10494
0.001,350,2,1,10,445.00514000000004
0.001,350,2,1,20,445.02246
0.001,350,2,1,30,445.02154
0.001,350,2,1,100,445.02148
0.001,350,2,5,5,445.12618000000003
0.001,350,2,5,10,445.04440000000005
0.001,350,2,5,20,445.04418000000004
0.001,350,2,5,30,445.04418000000004
0.001,350,2,5,100,445.04418000000004
0.001,350,2,10,5,445.13706
0.001,350,2,10,10,445.05379999999997
0.001,350,2,10,20,445.05550000000005
0.001,350,2,10,30,445.05550000000005
0.001,350,2,10,100,445.05550000000005
0.001,350,2,20,5,445.20088
0.001,350,2,20,10,445.14488
0.001,350,2,20,20,445.14367999999996
0.001,350,2,20,30,445.14367999999996
0.001,350,2,20,100,445.14367999999996
0.001,350,6,1,5,445.10087999999996
0.001,350,6,1,10,445.01418
0.001,350,6,1,20,445.02266
0.001,350,6,1,30,445.02266
0.001,350,6,1,100,445.02266
0.001,350,6,5,5,445.12618000000003
0.001,350,6,5,10,445.04440000000005
0.001,350,6,5,20,445.04418000000004
0.001,350,6,5,30,445.04418000000004
0.001,350,6,5,100,445.04418000000004
0.001,350,6,10,5,445.13706
0.001,350,6,10,10,445.05379999999997
0.001,350,6,10,20,445.05550000000005
0.001,350,6,10,30,445.05550000000005
0.001,350,6,10,100,445.05550000000005
0.001,350,6,20,5,445.20088
0.001,350,6,20,10,445.14488
0.001,350,6,20,20,445.14367999999996
0.001,350,6,20,30,445.14367999999996
0.001,350,6,20,100,445.14367999999996
0.001,350,10,1,5,445.10630000000003
0.001,350,10,1,10,445.02774
0.001,350,10,1,20,445.02988000000005
0.001,350,10,1,30,445.02988000000005
0.001,350,10,1,100,445.02988000000005
0.001,350,10,5,5,445.12618000000003
0.001,350,10,5,10,445.04440000000005
0.001,350,10,5,20,445.04418000000004
0.001,350,10,5,30,445.04418000000004
0.001,350,10,5,100,445.04418000000004
0.001,350,10,10,5,445.13706
0.001,350,10,10,10,445.05379999999997
0.001,350,10,10,20,445.05550000000005
0.001,350,10,10,30,445.05550000000005
0.001,350,10,10,100,445.05550000000005
0.001,350,10,20,5,445.20088
0.001,350,10,20,10,445.14488
0.001,350,10,20,20,445.14367999999996
0.001,350,10,20,30,445.14367999999996
0.001,350,10,20,100,445.14367999999996
0.001,350,20,1,5,445.10976
0.001,350,20,1,10,445.02673999999996
0.001,350,20,1,20,445.02404000000007
0.001,350,20,1,30,445.02404000000007
0.001,350,20,1,100,445.02404000000007
0.001,350,20,5,5,445.12486
0.001,350,20,5,10,445.04444
0.001,350,20,5,20,445.04218000000003
0.001,350,20,5,30,445.04218000000003
0.001,350,20,5,100,445.04218000000003
0.001,350,20,10,5,445.13706
0.001,350,20,10,10,445.05379999999997
0.001,350,20,10,20,445.05550000000005
0.001,350,20,10,30,445.05550000000005
0.001,350,20,10,100,445.05550000000005
0.001,350,20,20,5,445.20088
0.001,350,20,20,10,445.14488
0.001,350,20,20,20,445.14367999999996
0.001,350,20,20,30,445.14367999999996
0.001,350,20,20,100,445.14367999999996
0.001,350,40,1,5,445.12145999999996
0.001,350,40,1,10,445.04438
0.001,350,40,1,20,445.0449
0.001,350,40,1,30,445.0449
0.001,350,40,1,100,445.0449
0.001,350,40,5,5,445.13019999999995
0.001,350,40,5,10,445.05026
0.001,350,40,5,20,445.05066
0.001,350,40,5,30,445.05066
0.001,350,40,5,100,445.05066
0.001,350,40,10,5,445.1377799999999
0.001,350,40,10,10,445.06026
0.001,350,40,10,20,445.06038
0.001,350,40,10,30,445.06038
0.001,350,40,10,100,445.06038
0.001,350,40,20,5,445.20088
0.001,350,40,20,10,445.14488
0.001,350,40,20,20,445.14367999999996
0.001,350,40,20,30,445.14367999999996
0.001,350,40,20,100,445.14367999999996
0.001,500,2,1,5,383.20354000000003
0.001,500,2,1,10,383.0801
0.001,500,2,1,20,383.10092
0.001,500,2,1,30,383.09982
0.001,500,2,1,100,383.09974
0.001,500,2,5,5,383.23033999999996
0.001,500,2,5,10,383.11976000000004
0.001,500,2,5,20,383.11868
0.001,500,2,5,30,383.11868
0.001,500,2,5,100,383.11868
0.001,500,2,10,5,383.24672
0.001,500,2,10,10,383.1288600000001
0.001,500,2,10,20,383.13043999999996
0.001,500,2,10,30,383.13043999999996
0.001,500,2,10,100,383.13043999999996
0.001,500,2,20,5,383.32908000000003
0.001,500,2,20,10,383.2442400000001
0.001,500,2,20,20,383.24212
0.001,500,2,20,30,383.24212
