alpha,fit_intercept,copy_X,max_iter,tol,MMRE-
0.01,False,True,15000,0.01,53.648700000000005
0.01,False,True,15000,0.1,118.64656
0.01,False,True,20000,1e-05,53.641600000000004
0.01,False,True,20000,0.0001,53.64196
0.01,False,True,20000,0.001,53.6438
0.01,False,True,20000,0.01,53.648700000000005
0.01,False,True,20000,0.1,118.64656
0.01,False,False,500,1e-05,53.641600000000004
0.01,False,False,500,0.0001,53.64196
0.01,False,False,500,0.001,53.6438
0.01,False,False,500,0.01,53.648700000000005
0.01,False,False,500,0.1,118.64656
0.01,False,False,1000,1e-05,53.641600000000004
0.01,False,False,1000,0.0001,53.64196
0.01,False,False,1000,0.001,53.6438
0.01,False,False,1000,0.01,53.648700000000005
0.01,False,False,1000,0.1,118.64656
0.01,False,False,2000,1e-05,53.641600000000004
0.01,False,False,2000,0.0001,53.64196
0.01,False,False,2000,0.001,53.6438
0.01,False,False,2000,0.01,53.648700000000005
0.01,False,False,2000,0.1,118.64656
0.01,False,False,5000,1e-05,53.641600000000004
0.01,False,False,5000,0.0001,53.64196
0.01,False,False,5000,0.001,53.6438
0.01,False,False,5000,0.01,53.648700000000005
0.01,False,False,5000,0.1,118.64656
0.01,False,False,15000,1e-05,53.641600000000004
0.01,False,False,15000,0.0001,53.64196
0.01,False,False,15000,0.001,53.6438
0.01,False,False,15000,0.01,53.648700000000005
0.01,False,False,15000,0.1,118.64656
0.01,False,False,20000,1e-05,53.641600000000004
0.01,False,False,20000,0.0001,53.64196
0.01,False,False,20000,0.001,53.6438
0.01,False,False,20000,0.01,53.648700000000005
0.01,False,False,20000,0.1,118.64656
0.1,True,True,500,1e-05,517.6844799999999
0.1,True,True,500,0.0001,517.6844799999999
0.1,True,True,500,0.001,517.6849199999999
0.1,True,True,500,0.01,517.6915799999999
0.1,True,True,500,0.1,517.70252
0.1,True,True,1000,1e-05,517.6844799999999
0.1,True,True,1000,0.0001,517.6844799999999
0.1,True,True,1000,0.001,517.6849199999999
0.1,True,True,1000,0.01,517.6915799999999
0.1,True,True,1000,0.1,517.70252
0.1,True,True,2000,1e-05,517.6844799999999
0.1,True,True,2000,0.0001,517.6844799999999
0.1,True,True,2000,0.001,517.6849199999999
0.1,True,True,2000,0.01,517.6915799999999
0.1,True,True,2000,0.1,517.70252
