Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,100,40,1,5,12.52352
0.001,100,40,1,10,12.4127
0.001,100,40,1,20,12.38488
0.001,100,40,1,30,12.38482
0.001,100,40,1,100,12.38488
0.001,100,40,5,5,12.51468
0.001,100,40,5,10,12.41948
0.001,100,40,5,20,12.40464
0.001,100,40,5,30,12.40464
0.001,100,40,5,100,12.40464
0.001,100,40,10,5,12.51572
0.001,100,40,10,10,12.42942
0.001,100,40,10,20,12.41702
0.001,100,40,10,30,12.41702
0.001,100,40,10,100,12.41702
0.001,100,40,20,5,12.5196
0.001,100,40,20,10,12.43674
0.001,100,40,20,20,12.4294
0.001,100,40,20,30,12.4294
0.001,100,40,20,100,12.4294
0.001,200,2,1,5,12.18194
0.001,200,2,1,10,11.87692
0.001,200,2,1,20,11.67854
0.001,200,2,1,30,11.66924
0.001,200,2,1,100,11.66662
0.001,200,2,5,5,12.1747
0.001,200,2,5,10,11.9468
0.001,200,2,5,20,11.83168
0.001,200,2,5,30,11.83212
0.001,200,2,5,100,11.83246
0.001,200,2,10,5,12.17506
0.001,200,2,10,10,11.96374
0.001,200,2,10,20,11.91618
0.001,200,2,10,30,11.9158
0.001,200,2,10,100,11.91594
0.001,200,2,20,5,12.18984
0.001,200,2,20,10,12.02986
0.001,200,2,20,20,12.01696
0.001,200,2,20,30,12.01696
0.001,200,2,20,100,12.01696
0.001,200,6,1,5,12.18378
0.001,200,6,1,10,11.88462
0.001,200,6,1,20,11.70998
0.001,200,6,1,30,11.69902
0.001,200,6,1,100,11.69786
0.001,200,6,5,5,12.17474
0.001,200,6,5,10,11.947
0.001,200,6,5,20,11.83186
0.001,200,6,5,30,11.83246
0.001,200,6,5,100,11.83232
0.001,200,6,10,5,12.17504
0.001,200,6,10,10,11.96372
0.001,200,6,10,20,11.916
0.001,200,6,10,30,11.91604
0.001,200,6,10,100,11.91582
0.001,200,6,20,5,12.18984
0.001,200,6,20,10,12.02986
0.001,200,6,20,20,12.01696
0.001,200,6,20,30,12.01696
0.001,200,6,20,100,12.01696
0.001,200,10,1,5,12.18932
0.001,200,10,1,10,11.915
0.001,200,10,1,20,11.77116
0.001,200,10,1,30,11.76484
0.001,200,10,1,100,11.7656
0.001,200,10,5,5,12.1747
0.001,200,10,5,10,11.94686
0.001,200,10,5,20,11.83178
0.001,200,10,5,30,11.83246
0.001,200,10,5,100,11.8322
0.001,200,10,10,5,12.17506
0.001,200,10,10,10,11.96378
0.001,200,10,10,20,11.91612
0.001,200,10,10,30,11.91594
0.001,200,10,10,100,11.91602
0.001,200,10,20,5,12.18984
0.001,200,10,20,10,12.02986
0.001,200,10,20,20,12.01696
0.001,200,10,20,30,12.01696
0.001,200,10,20,100,12.01696
0.001,200,20,1,5,12.18726
0.001,200,20,1,10,11.93584
0.001,200,20,1,20,11.82712
0.001,200,20,1,30,11.82534
0.001,200,20,1,100,11.8252
0.001,200,20,5,5,12.17256
0.001,200,20,5,10,11.96166
0.001,200,20,5,20,11.89118
0.001,200,20,5,30,11.89164
0.001,200,20,5,100,11.89178
0.001,200,20,10,5,12.17504
0.001,200,20,10,10,11.96378
0.001,200,20,10,20,11.91608
0.001,200,20,10,30,11.91594
0.001,200,20,10,100,11.91608
0.001,200,20,20,5,12.18984
0.001,200,20,20,10,12.02986
0.001,200,20,20,20,12.01696
0.001,200,20,20,30,12.01696
0.001,200,20,20,100,12.01696
0.001,200,40,1,5,12.19076
0.001,200,40,1,10,11.98312
0.001,200,40,1,20,11.92936
0.001,200,40,1,30,11.92894
0.001,200,40,1,100,11.92904
0.001,200,40,5,5,12.17446
0.001,200,40,5,10,11.99444
0.001,200,40,5,20,11.9636
0.001,200,40,5,30,11.96364
0.001,200,40,5,100,11.96362
0.001,200,40,10,5,12.17678
0.001,200,40,10,10,12.01806
0.001,200,40,10,20,11.99536
0.001,200,40,10,30,11.99536
0.001,200,40,10,100,11.99534
0.001,200,40,20,5,12.18984
0.001,200,40,20,10,12.02986
0.001,200,40,20,20,12.01696
0.001,200,40,20,30,12.01696
0.001,200,40,20,100,12.01696
0.001,350,2,1,5,11.73624
0.001,350,2,1,10,11.29356
0.001,350,2,1,20,11.01154
0.001,350,2,1,30,10.9949
0.001,350,2,1,100,10.9963
0.001,350,2,5,5,11.72548
0.001,350,2,5,10,11.36458
0.001,350,2,5,20,11.17832
0.001,350,2,5,30,11.18088
0.001,350,2,5,100,11.18054
0.001,350,2,10,5,11.7361
0.001,350,2,10,10,11.3916
0.001,350,2,10,20,11.31612
0.001,350,2,10,30,11.31576
0.001,350,2,10,100,11.31624
0.001,350,2,20,5,11.74904
0.001,350,2,20,10,11.49918
0.001,350,2,20,20,11.47898
0.001,350,2,20,30,11.47898
0.001,350,2,20,100,11.47898
0.001,350,6,1,5,11.74144
0.001,350,6,1,10,11.29554
0.001,350,6,1,20,11.00852
0.001,350,6,1,30,10.98956
0.001,350,6,1,100,10.98722
0.001,350,6,5,5,11.72546
0.001,350,6,5,10,11.36456
0.001,350,6,5,20,11.17824
0.001,350,6,5,30,11.1799
0.001,350,6,5,100,11.18074
0.001,350,6,10,5,11.73612
0.001,350,6,10,10,11.39152
0.001,350,6,10,20,11.31586
0.001,350,6,10,30,11.31626
0.001,350,6,10,100,11.31612
0.001,350,6,20,5,11.74904
0.001,350,6,20,10,11.49918
0.001,350,6,20,20,11.47898
0.001,350,6,20,30,11.47898
0.001,350,6,20,100,11.47898
0.001,350,10,1,5,11.74972
0.001,350,10,1,10,11.33096
0.001,350,10,1,20,11.08926
0.001,350,10,1,30,11.08158
0.001,350,10,1,100,11.08206
0.001,350,10,5,5,11.72546
0.001,350,10,5,10,11.36446
0.001,350,10,5,20,11.17862
0.001,350,10,5,30,11.18068
0.001,350,10,5,100,11.18066
0.001,350,10,10,5,11.7361
0.001,350,10,10,10,11.39152
0.001,350,10,10,20,11.31604
0.001,350,10,10,30,11.31602
0.001,350,10,10,100,11.31606
0.001,350,10,20,5,11.74904
0.001,350,10,20,10,11.49918
0.001,350,10,20,20,11.47898
0.001,350,10,20,30,11.47898
0.001,350,10,20,100,11.47898
0.001,350,20,1,5,11.75532
0.001,350,20,1,10,11.36494
0.001,350,20,1,20,11.19666
0.001,350,20,1,30,11.1924
0.001,350,20,1,100,11.19296
0.001,350,20,5,5,11.73082
0.001,350,20,5,10,11.38846
0.001,350,20,5,20,11.27072
0.001,350,20,5,30,11.27166
0.001,350,20,5,100,11.27182
0.001,350,20,10,5,11.73612
0.001,350,20,10,10,11.3915
0.001,350,20,10,20,11.31612
0.001,350,20,10,30,11.31588
0.001,350,20,10,100,11.3161
0.001,350,20,20,5,11.74904
0.001,350,20,20,10,11.49918
0.001,350,20,20,20,11.47898
0.001,350,20,20,30,11.47898
0.001,350,20,20,100,11.47898
0.001,350,40,1,5,11.7584
0.001,350,40,1,10,11.43626
0.001,350,40,1,20,11.3403
0.001,350,40,1,30,11.3402
0.001,350,40,1,100,11.34032
0.001,350,40,5,5,11.74402
0.001,350,40,5,10,11.43982
0.001,350,40,5,20,11.39176
0.001,350,40,5,30,11.39174
0.001,350,40,5,100,11.39174
0.001,350,40,10,5,11.74026
0.001,350,40,10,10,11.46364
0.001,350,40,10,20,11.42772
0.001,350,40,10,30,11.42774
0.001,350,40,10,100,11.42774
0.001,350,40,20,5,11.74904
0.001,350,40,20,10,11.49918
