N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,20,6,5,sqrt,0.1,9.6
10,20,6,5,sqrt,0.2,8.8
10,20,6,5,sqrt,0.3,9.4
10,20,6,5,log2,0,8.4
10,20,6,5,log2,0.1,9
10,20,6,5,log2,0.2,8.6
10,20,6,5,log2,0.3,8.4
10,20,6,10,5,0,7.2
10,20,6,10,5,0.1,7.2
10,20,6,10,5,0.2,7.6
10,20,6,10,5,0.3,7.2
10,20,6,10,sqrt,0,11.6
10,20,6,10,sqrt,0.1,11.4
10,20,6,10,sqrt,0.2,12
10,20,6,10,sqrt,0.3,12.2
10,20,6,10,log2,0,12.4
10,20,6,10,log2,0.1,12
10,20,6,10,log2,0.2,12.6
10,20,6,10,log2,0.3,12.2
10,20,6,20,5,0,15.4
10,20,6,20,5,0.1,14.6
10,20,6,20,5,0.2,13.6
10,20,6,20,5,0.3,15
10,20,6,20,sqrt,0,16.2
10,20,6,20,sqrt,0.1,16.4
10,20,6,20,sqrt,0.2,16.6
10,20,6,20,sqrt,0.3,16.2
10,20,6,20,log2,0,16.2
10,20,6,20,log2,0.1,16
10,20,6,20,log2,0.2,16.2
10,20,6,20,log2,0.3,15.6
10,20,10,1,5,0,3.2
10,20,10,1,5,0.1,3.2
10,20,10,1,5,0.2,3.2
10,20,10,1,5,0.3,3.2
10,20,10,1,sqrt,0,8.6
10,20,10,1,sqrt,0.1,10
10,20,10,1,sqrt,0.2,9
10,20,10,1,sqrt,0.3,8.6
10,20,10,1,log2,0,9
10,20,10,1,log2,0.1,8.6
10,20,10,1,log2,0.2,7.8
10,20,10,1,log2,0.3,8.4
10,20,10,5,5,0,3.4
10,20,10,5,5,0.1,3.2
10,20,10,5,5,0.2,3.2
10,20,10,5,5,0.3,3.4
10,20,10,5,sqrt,0,8.4
10,20,10,5,sqrt,0.1,9.2
10,20,10,5,sqrt,0.2,8.8
10,20,10,5,sqrt,0.3,8.8
10,20,10,5,log2,0,7.8
10,20,10,5,log2,0.1,9.2
10,20,10,5,log2,0.2,8.8
10,20,10,5,log2,0.3,8.8
10,20,10,10,5,0,6.8
10,20,10,10,5,0.1,6.8
10,20,10,10,5,0.2,6.8
10,20,10,10,5,0.3,7.4
10,20,10,10,sqrt,0,12.6
10,20,10,10,sqrt,0.1,12
10,20,10,10,sqrt,0.2,11.4
10,20,10,10,sqrt,0.3,12.8
10,20,10,10,log2,0,12.2
10,20,10,10,log2,0.1,12.4
10,20,10,10,log2,0.2,12
10,20,10,10,log2,0.3,12.8
10,20,10,20,5,0,15.4
10,20,10,20,5,0.1,15.6
10,20,10,20,5,0.2,15
10,20,10,20,5,0.3,14.2
10,20,10,20,sqrt,0,17.2
10,20,10,20,sqrt,0.1,15.6
10,20,10,20,sqrt,0.2,15.8
10,20,10,20,sqrt,0.3,16.8
10,20,10,20,log2,0,15.4
10,20,10,20,log2,0.1,15.2
10,20,10,20,log2,0.2,16.2
10,20,10,20,log2,0.3,16.4
10,20,20,1,5,0,5.8
10,20,20,1,5,0.1,5.8
10,20,20,1,5,0.2,5.8
10,20,20,1,5,0.3,5.6
10,20,20,1,sqrt,0,10.6
10,20,20,1,sqrt,0.1,10.4
10,20,20,1,sqrt,0.2,12
10,20,20,1,sqrt,0.3,10.8
10,20,20,1,log2,0,9.6
10,20,20,1,log2,0.1,11.2
10,20,20,1,log2,0.2,11.4
10,20,20,1,log2,0.3,11.4
10,20,20,5,5,0,5.8
10,20,20,5,5,0.1,5.8
10,20,20,5,5,0.2,5.8
10,20,20,5,5,0.3,5.8
10,20,20,5,sqrt,0,11.2
10,20,20,5,sqrt,0.1,11.2
10,20,20,5,sqrt,0.2,9.8
10,20,20,5,sqrt,0.3,12.2
10,20,20,5,log2,0,11.6
10,20,20,5,log2,0.1,11.6
10,20,20,5,log2,0.2,10.8
10,20,20,5,log2,0.3,10
10,20,20,10,5,0,7.6
10,20,20,10,5,0.1,7.6
10,20,20,10,5,0.2,7.4
10,20,20,10,5,0.3,7.2
10,20,20,10,sqrt,0,13
10,20,20,10,sqrt,0.1,12.6
10,20,20,10,sqrt,0.2,12.2
10,20,20,10,sqrt,0.3,11.8
10,20,20,10,log2,0,12
10,20,20,10,log2,0.1,12
10,20,20,10,log2,0.2,11.2
10,20,20,10,log2,0.3,12.6
10,20,20,20,5,0,15.2
10,20,20,20,5,0.1,16
10,20,20,20,5,0.2,15.2
10,20,20,20,5,0.3,15.2
10,20,20,20,sqrt,0,14
10,20,20,20,sqrt,0.1,17.2
10,20,20,20,sqrt,0.2,17.2
10,20,20,20,sqrt,0.3,16
10,20,20,20,log2,0,16.8
10,20,20,20,log2,0.1,15.6
10,20,20,20,log2,0.2,16.8
10,20,20,20,log2,0.3,14.6
10,20,40,1,5,0,13.4
10,20,40,1,5,0.1,12.8
10,20,40,1,5,0.2,13.2
10,20,40,1,5,0.3,12.8
10,20,40,1,sqrt,0,13.8
10,20,40,1,sqrt,0.1,14.4
10,20,40,1,sqrt,0.2,14.6
10,20,40,1,sqrt,0.3,15
10,20,40,1,log2,0,14.8
10,20,40,1,log2,0.1,14
10,20,40,1,log2,0.2,15.2
10,20,40,1,log2,0.3,14
10,20,40,5,5,0,12.8
10,20,40,5,5,0.1,13.4
10,20,40,5,5,0.2,12.4
10,20,40,5,5,0.3,12.8
10,20,40,5,sqrt,0,14.4
10,20,40,5,sqrt,0.1,14.4
10,20,40,5,sqrt,0.2,13.6
10,20,40,5,sqrt,0.3,14
10,20,40,5,log2,0,14.8
10,20,40,5,log2,0.1,13.2
10,20,40,5,log2,0.2,13
10,20,40,5,log2,0.3,14.4
10,20,40,10,5,0,13
10,20,40,10,5,0.1,12.4
10,20,40,10,5,0.2,12.8
10,20,40,10,5,0.3,12
10,20,40,10,sqrt,0,15.4
10,20,40,10,sqrt,0.1,16
10,20,40,10,sqrt,0.2,13.6
10,20,40,10,sqrt,0.3,16.2
10,20,40,10,log2,0,14.6
10,20,40,10,log2,0.1,14.8
10,20,40,10,log2,0.2,14.6
10,20,40,10,log2,0.3,14.8
10,20,40,20,5,0,15.2
10,20,40,20,5,0.1,14.4
10,20,40,20,5,0.2,15.4
10,20,40,20,5,0.3,15.4
10,20,40,20,sqrt,0,15.4
10,20,40,20,sqrt,0.1,16.4
10,20,40,20,sqrt,0.2,15.2
10,20,40,20,sqrt,0.3,15.8
10,20,40,20,log2,0,13.8
10,20,40,20,log2,0.1,14.6
10,20,40,20,log2,0.2,16.6
10,20,40,20,log2,0.3,16.8
10,30,2,1,5,0,3.2
10,30,2,1,5,0.1,3.2
10,30,2,1,5,0.2,3
10,30,2,1,5,0.3,3
10,30,2,1,sqrt,0,5.6
10,30,2,1,sqrt,0.1,5.8
10,30,2,1,sqrt,0.2,6
10,30,2,1,sqrt,0.3,5.4
10,30,2,1,log2,0,6
10,30,2,1,log2,0.1,5.4
10,30,2,1,log2,0.2,6
10,30,2,1,log2,0.3,5.8
10,30,2,5,5,0,3.2
10,30,2,5,5,0.1,3.6
10,30,2,5,5,0.2,3.4
10,30,2,5,5,0.3,3.4
10,30,2,5,sqrt,0,9.4
10,30,2,5,sqrt,0.1,9.6
10,30,2,5,sqrt,0.2,8.4
10,30,2,5,sqrt,0.3,9.6
10,30,2,5,log2,0,9.4
10,30,2,5,log2,0.1,9.6
10,30,2,5,log2,0.2,8.6
10,30,2,5,log2,0.3,8
10,30,2,10,5,0,7.2
10,30,2,10,5,0.1,6.8
10,30,2,10,5,0.2,6.6
10,30,2,10,5,0.3,6.8
10,30,2,10,sqrt,0,12.6
10,30,2,10,sqrt,0.1,12.2
10,30,2,10,sqrt,0.2,12.8
