n_neighbors,weights,algorithm,leaf_size,p,MMRE-
3,distance,brute,100,2,21.24634
5,uniform,auto,10,1,21.963
5,uniform,auto,10,2,24.53664
5,uniform,auto,20,1,21.79354
5,uniform,auto,20,2,24.5594
5,uniform,auto,30,1,22.01902
5,uniform,auto,30,2,24.533799999999996
5,uniform,auto,40,1,22.01902
5,uniform,auto,40,2,24.533799999999996
5,uniform,auto,50,1,22.01902
5,uniform,auto,50,2,24.533799999999996
5,uniform,auto,100,1,21.6998
5,uniform,auto,100,2,24.546
5,uniform,ball_tree,10,1,22.09874
5,uniform,ball_tree,10,2,24.560679999999998
5,uniform,ball_tree,20,1,21.936680000000003
5,uniform,ball_tree,20,2,24.650100000000002
5,uniform,ball_tree,30,1,22.14894
5,uniform,ball_tree,30,2,24.553259999999998
5,uniform,ball_tree,40,1,22.14894
5,uniform,ball_tree,40,2,24.553259999999998
5,uniform,ball_tree,50,1,22.14894
5,uniform,ball_tree,50,2,24.553259999999998
5,uniform,ball_tree,100,1,21.87456
5,uniform,ball_tree,100,2,24.55804
5,uniform,kd_tree,10,1,21.963
5,uniform,kd_tree,10,2,24.53664
5,uniform,kd_tree,20,1,21.79354
5,uniform,kd_tree,20,2,24.5594
5,uniform,kd_tree,30,1,22.01902
5,uniform,kd_tree,30,2,24.533799999999996
5,uniform,kd_tree,40,1,22.01902
5,uniform,kd_tree,40,2,24.533799999999996
5,uniform,kd_tree,50,1,22.01902
5,uniform,kd_tree,50,2,24.533799999999996
5,uniform,kd_tree,100,1,21.6998
5,uniform,kd_tree,100,2,24.546
5,uniform,brute,10,1,21.87622
5,uniform,brute,10,2,24.96818
5,uniform,brute,20,1,21.87622
5,uniform,brute,20,2,24.96818
5,uniform,brute,30,1,21.87622
5,uniform,brute,30,2,24.96818
5,uniform,brute,40,1,21.87622
5,uniform,brute,40,2,24.96818
5,uniform,brute,50,1,21.87622
5,uniform,brute,50,2,24.96818
5,uniform,brute,100,1,21.87622
5,uniform,brute,100,2,24.96818
5,distance,auto,10,1,20.799879999999998
5,distance,auto,10,2,23.06456
5,distance,auto,20,1,20.66952
5,distance,auto,20,2,23.08048
5,distance,auto,30,1,20.83266
5,distance,auto,30,2,23.082900000000002
5,distance,auto,40,1,20.83266
5,distance,auto,40,2,23.082900000000002
5,distance,auto,50,1,20.83266
