Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,200.0,20.0,1.0,5.0,17325.484519999998
0.001,200.0,20.0,1.0,10.0,17277.6946
0.001,200.0,20.0,1.0,20.0,17277.689820000003
0.001,200.0,20.0,1.0,30.0,17277.69034
0.001,200.0,20.0,1.0,100.0,17277.689879999998
0.001,200.0,20.0,5.0,5.0,17316.86106
0.001,200.0,20.0,5.0,10.0,17277.63698
0.001,200.0,20.0,5.0,20.0,17277.63618
0.001,200.0,20.0,5.0,30.0,17277.63618
0.001,200.0,20.0,5.0,100.0,17277.63618
0.001,200.0,20.0,10.0,5.0,17318.309800000003
0.001,200.0,20.0,10.0,10.0,17275.43542
0.001,200.0,20.0,10.0,20.0,17275.43464
0.001,200.0,20.0,10.0,30.0,17275.43464
0.001,200.0,20.0,10.0,100.0,17275.43464
0.001,200.0,20.0,20.0,5.0,17347.15828
0.001,200.0,20.0,20.0,10.0,17346.07868
0.001,200.0,20.0,20.0,20.0,17346.07868
0.001,200.0,20.0,20.0,30.0,17346.07868
0.001,200.0,20.0,20.0,100.0,17346.07868
0.001,200.0,40.0,1.0,5.0,17332.629800000002
0.001,200.0,40.0,1.0,10.0,17322.4527
0.001,200.0,40.0,1.0,20.0,17322.45066
0.001,200.0,40.0,1.0,30.0,17322.4507
0.001,200.0,40.0,1.0,100.0,17322.4508
0.001,200.0,40.0,5.0,5.0,17322.820780000002
0.001,200.0,40.0,5.0,10.0,17322.44796
0.001,200.0,40.0,5.0,20.0,17322.44882
0.001,200.0,40.0,5.0,30.0,17322.44882
0.001,200.0,40.0,5.0,100.0,17322.44882
0.001,200.0,40.0,10.0,5.0,17323.661319999996
0.001,200.0,40.0,10.0,10.0,17323.396800000002
0.001,200.0,40.0,10.0,20.0,17323.39644
0.001,200.0,40.0,10.0,30.0,17323.39644
0.001,200.0,40.0,10.0,100.0,17323.39644
0.001,200.0,40.0,20.0,5.0,17347.15828
0.001,200.0,40.0,20.0,10.0,17346.07868
0.001,200.0,40.0,20.0,20.0,17346.07868
0.001,200.0,40.0,20.0,30.0,17346.07868
0.001,200.0,40.0,20.0,100.0,17346.07868
0.001,350.0,2.0,1.0,5.0,14993.559359999996
0.001,350.0,2.0,1.0,10.0,14997.60098
0.001,350.0,2.0,1.0,20.0,14998.115199999997
0.001,350.0,2.0,1.0,30.0,14998.060300000001
0.001,350.0,2.0,1.0,100.0,14998.57044
0.001,350.0,2.0,5.0,5.0,14973.85294
0.001,350.0,2.0,5.0,10.0,14877.290780000001
0.001,350.0,2.0,5.0,20.0,14877.299880000002
0.001,350.0,2.0,5.0,30.0,14877.31458
0.001,350.0,2.0,5.0,100.0,14877.282560000001
0.001,350.0,2.0,10.0,5.0,14972.891520000001
0.001,350.0,2.0,10.0,10.0,14912.834280000001
0.001,350.0,2.0,10.0,20.0,14912.833580000002
0.001,350.0,2.0,10.0,30.0,14912.833580000002
0.001,350.0,2.0,10.0,100.0,14912.833580000002
0.001,350.0,2.0,20.0,5.0,15018.29246
0.001,350.0,2.0,20.0,10.0,15015.81452
0.001,350.0,2.0,20.0,20.0,15015.814439999998
0.001,350.0,2.0,20.0,30.0,15015.814439999998
0.001,350.0,2.0,20.0,100.0,15015.814439999998
0.001,350.0,6.0,1.0,5.0,14993.560200000002
