N_neighbors,weights,algorithm,Leaf_size,P,MMRE-
5,distance,ball_tree,40,1,5.780659999999999
5,distance,ball_tree,40,2,5.855600000000001
5,distance,ball_tree,50,1,5.780659999999999
5,distance,ball_tree,50,2,5.855600000000001
5,distance,ball_tree,100,1,5.74186
5,distance,ball_tree,100,2,5.8445800000000006
5,distance,kd_tree,10,1,5.8529
5,distance,kd_tree,10,2,5.943859999999999
5,distance,kd_tree,20,1,5.82808
5,distance,kd_tree,20,2,5.960780000000001
5,distance,kd_tree,30,1,5.82808
5,distance,kd_tree,30,2,5.960780000000001
5,distance,kd_tree,40,1,5.83584
5,distance,kd_tree,40,2,5.913080000000001
5,distance,kd_tree,50,1,5.83584
5,distance,kd_tree,50,2,5.913080000000001
5,distance,kd_tree,100,1,5.791479999999999
5,distance,kd_tree,100,2,5.89612
5,distance,brute,10,1,5.7988
5,distance,brute,10,2,5.86074
5,distance,brute,20,1,5.7988
5,distance,brute,20,2,5.86074
5,distance,brute,30,1,5.7988
5,distance,brute,30,2,5.86074
5,distance,brute,40,1,5.7988
5,distance,brute,40,2,5.86074
5,distance,brute,50,1,5.7988
5,distance,brute,50,2,5.86074
5,distance,brute,100,1,5.7988
5,distance,brute,100,2,5.86074
7,uniform,auto,10,1,6.44392
7,uniform,auto,10,2,6.354900000000001
7,uniform,auto,20,1,6.315440000000001
7,uniform,auto,20,2,6.382720000000001
7,uniform,auto,30,1,6.315440000000001
7,uniform,auto,30,2,6.382720000000001
7,uniform,auto,40,1,6.336319999999999
7,uniform,auto,40,2,6.29754
7,uniform,auto,50,1,6.336319999999999
7,uniform,auto,50,2,6.29754
7,uniform,auto,100,1,6.298019999999999
7,uniform,auto,100,2,6.255420000000001
7,uniform,ball_tree,10,1,6.3332
7,uniform,ball_tree,10,2,6.309819999999999
7,uniform,ball_tree,20,1,6.22928
7,uniform,ball_tree,20,2,6.33698
7,uniform,ball_tree,30,1,6.22928
7,uniform,ball_tree,30,2,6.33698
7,uniform,ball_tree,40,1,6.1878400000000005
7,uniform,ball_tree,40,2,6.27154
7,uniform,ball_tree,50,1,6.1878400000000005
7,uniform,ball_tree,50,2,6.27154
7,uniform,ball_tree,100,1,6.24538
7,uniform,ball_tree,100,2,6.296200000000001
7,uniform,kd_tree,10,1,6.44392
7,uniform,kd_tree,10,2,6.354900000000001
7,uniform,kd_tree,20,1,6.315440000000001
7,uniform,kd_tree,20,2,6.382720000000001
7,uniform,kd_tree,30,1,6.315440000000001
7,uniform,kd_tree,30,2,6.382720000000001
7,uniform,kd_tree,40,1,6.336319999999999
7,uniform,kd_tree,40,2,6.29754
7,uniform,kd_tree,50,1,6.336319999999999
7,uniform,kd_tree,50,2,6.29754
7,uniform,kd_tree,100,1,6.298019999999999
7,uniform,kd_tree,100,2,6.255420000000001
7,uniform,brute,10,1,6.168799999999999
7,uniform,brute,10,2,6.17068
7,uniform,brute,20,1,6.168799999999999
7,uniform,brute,20,2,6.17068
7,uniform,brute,30,1,6.168799999999999
7,uniform,brute,30,2,6.17068
7,uniform,brute,40,1,6.168799999999999
7,uniform,brute,40,2,6.17068
7,uniform,brute,50,1,6.168799999999999
7,uniform,brute,50,2,6.17068
7,uniform,brute,100,1,6.168799999999999
7,uniform,brute,100,2,6.17068
7,distance,auto,10,1,6.02412
7,distance,auto,10,2,6.14174
7,distance,auto,20,1,5.9482
7,distance,auto,20,2,6.1589
7,distance,auto,30,1,5.9482
7,distance,auto,30,2,6.1589
7,distance,auto,40,1,5.96406
7,distance,auto,40,2,6.099300000000001
7,distance,auto,50,1,5.96406
7,distance,auto,50,2,6.099300000000001
7,distance,auto,100,1,5.95332
7,distance,auto,100,2,6.05946
7,distance,ball_tree,10,1,5.954739999999999
7,distance,ball_tree,10,2,6.107280000000001
7,distance,ball_tree,20,1,5.881599999999999
7,distance,ball_tree,20,2,6.1246
7,distance,ball_tree,30,1,5.881599999999999
7,distance,ball_tree,30,2,6.1246
7,distance,ball_tree,40,1,5.87192
7,distance,ball_tree,40,2,6.080419999999999
7,distance,ball_tree,50,1,5.87192
7,distance,ball_tree,50,2,6.080419999999999
7,distance,ball_tree,100,1,5.92186
7,distance,ball_tree,100,2,6.0927999999999995
7,distance,kd_tree,10,1,6.02412
7,distance,kd_tree,10,2,6.14174
7,distance,kd_tree,20,1,5.9482
7,distance,kd_tree,20,2,6.1589
7,distance,kd_tree,30,1,5.9482
7,distance,kd_tree,30,2,6.1589
7,distance,kd_tree,40,1,5.96406
7,distance,kd_tree,40,2,6.099300000000001
7,distance,kd_tree,50,1,5.96406
7,distance,kd_tree,50,2,6.099300000000001
7,distance,kd_tree,100,1,5.95332
7,distance,kd_tree,100,2,6.05946
7,distance,brute,10,1,5.880560000000001
7,distance,brute,10,2,6.00258
7,distance,brute,20,1,5.880560000000001
7,distance,brute,20,2,6.00258
7,distance,brute,30,1,5.880560000000001
7,distance,brute,30,2,6.00258
7,distance,brute,40,1,5.880560000000001
7,distance,brute,40,2,6.00258
7,distance,brute,50,1,5.880560000000001
7,distance,brute,50,2,6.00258
7,distance,brute,100,1,5.880560000000001
7,distance,brute,100,2,6.00258
9,uniform,auto,10,1,6.596819999999999
9,uniform,auto,10,2,6.517239999999999
9,uniform,auto,20,1,6.515600000000001
9,uniform,auto,20,2,6.5547200000000005
9,uniform,auto,30,1,6.515600000000001
9,uniform,auto,30,2,6.5547200000000005
9,uniform,auto,40,1,6.38654
9,uniform,auto,40,2,6.519540000000001
9,uniform,auto,50,1,6.38654
9,uniform,auto,50,2,6.519540000000001
9,uniform,auto,100,1,6.372400000000001
9,uniform,auto,100,2,6.47178
9,uniform,ball_tree,10,1,6.48392
9,uniform,ball_tree,10,2,6.51362
9,uniform,ball_tree,20,1,6.468440000000001
9,uniform,ball_tree,20,2,6.537740000000001
9,uniform,ball_tree,30,1,6.468440000000001
9,uniform,ball_tree,30,2,6.537740000000001
