n_neighbors,weights,algorithm,leaf_size,p,MMRE-
5,distance,brute,50,1,7.16974
5,distance,brute,50,2,7.3342600000000004
5,distance,brute,100,1,7.16974
5,distance,brute,100,2,7.3342600000000004
7,uniform,auto,10,1,8.97588
7,uniform,auto,10,2,9.27544
7,uniform,auto,20,1,8.97588
7,uniform,auto,20,2,9.27542
7,uniform,auto,30,1,8.97588
7,uniform,auto,30,2,9.27542
7,uniform,auto,40,1,8.97588
7,uniform,auto,40,2,9.27544
7,uniform,auto,50,1,8.97588
7,uniform,auto,50,2,9.27544
7,uniform,auto,100,1,8.97588
7,uniform,auto,100,2,9.27548
7,uniform,ball_tree,10,1,8.97588
7,uniform,ball_tree,10,2,9.27542
7,uniform,ball_tree,20,1,8.97588
7,uniform,ball_tree,20,2,9.275459999999999
7,uniform,ball_tree,30,1,8.97588
7,uniform,ball_tree,30,2,9.275459999999999
7,uniform,ball_tree,40,1,8.97588
7,uniform,ball_tree,40,2,9.275459999999999
7,uniform,ball_tree,50,1,8.97588
7,uniform,ball_tree,50,2,9.275459999999999
7,uniform,ball_tree,100,1,8.97588
7,uniform,ball_tree,100,2,9.275459999999999
7,uniform,kd_tree,10,1,8.97588
7,uniform,kd_tree,10,2,9.27544
7,uniform,kd_tree,20,1,8.97588
7,uniform,kd_tree,20,2,9.27542
7,uniform,kd_tree,30,1,8.97588
7,uniform,kd_tree,30,2,9.27542
7,uniform,kd_tree,40,1,8.97588
7,uniform,kd_tree,40,2,9.27544
7,uniform,kd_tree,50,1,8.97588
7,uniform,kd_tree,50,2,9.27544
7,uniform,kd_tree,100,1,8.97588
7,uniform,kd_tree,100,2,9.27548
7,uniform,brute,10,1,8.97588
7,uniform,brute,10,2,9.27544
7,uniform,brute,20,1,8.97588
7,uniform,brute,20,2,9.27544
7,uniform,brute,30,1,8.97588
7,uniform,brute,30,2,9.27544
7,uniform,brute,40,1,8.97588
7,uniform,brute,40,2,9.27544
7,uniform,brute,50,1,8.97588
7,uniform,brute,50,2,9.27544
7,uniform,brute,100,1,8.97588
7,uniform,brute,100,2,9.27544
7,distance,auto,10,1,7.03296
7,distance,auto,10,2,7.252159999999999
7,distance,auto,20,1,7.03296
7,distance,auto,20,2,7.25214
7,distance,auto,30,1,7.03296
7,distance,auto,30,2,7.25214
7,distance,auto,40,1,7.03296
7,distance,auto,40,2,7.252160000000001
7,distance,auto,50,1,7.03296
