alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,False,20000,0.0001,cholesky,7.41156
0.001,True,False,20000,0.0001,lsqr,8.6475
0.001,True,False,20000,0.0001,sparse_cg,7.854199999999999
0.001,True,False,20000,0.0001,sag,8.76838
0.001,True,False,20000,0.0001,saga,8.860560000000001
0.001,True,False,20000,0.001,auto,7.41156
0.001,True,False,20000,0.001,svd,7.41156
0.001,True,False,20000,0.001,cholesky,7.41156
0.001,True,False,20000,0.001,lsqr,8.886840000000001
0.001,True,False,20000,0.001,sparse_cg,8.673779999999999
0.001,True,False,20000,0.001,sag,9.161240000000001
0.001,True,False,20000,0.001,saga,9.3278
0.001,True,False,20000,0.01,auto,7.41156
0.001,True,False,20000,0.01,svd,7.41156
0.001,True,False,20000,0.01,cholesky,7.41156
0.001,True,False,20000,0.01,lsqr,9.768360000000001
0.001,True,False,20000,0.01,sparse_cg,8.97126
0.001,True,False,20000,0.01,sag,9.59926
0.001,True,False,20000,0.01,saga,9.65798
0.001,True,False,20000,0.1,auto,7.41156
0.001,True,False,20000,0.1,svd,7.41156
0.001,True,False,20000,0.1,cholesky,7.41156
0.001,True,False,20000,0.1,lsqr,9.9298
0.001,True,False,20000,0.1,sparse_cg,9.782700000000002
0.001,True,False,20000,0.1,sag,9.738879999999998
0.001,True,False,20000,0.1,saga,9.75658
0.001,True,False,50000,0.0001,auto,7.41156
0.001,True,False,50000,0.0001,svd,7.41156
0.001,True,False,50000,0.0001,cholesky,7.41156
0.001,True,False,50000,0.0001,lsqr,8.6475
0.001,True,False,50000,0.0001,sparse_cg,7.854199999999999
0.001,True,False,50000,0.0001,sag,8.76838
0.001,True,False,50000,0.0001,saga,8.860560000000001
0.001,True,False,50000,0.001,auto,7.41156
0.001,True,False,50000,0.001,svd,7.41156
0.001,True,False,50000,0.001,cholesky,7.41156
0.001,True,False,50000,0.001,lsqr,8.886840000000001
0.001,True,False,50000,0.001,sparse_cg,8.673779999999999
0.001,True,False,50000,0.001,sag,9.16118
0.001,True,False,50000,0.001,saga,9.3278
0.001,True,False,50000,0.01,auto,7.41156
0.001,True,False,50000,0.01,svd,7.41156
0.001,True,False,50000,0.01,cholesky,7.41156
0.001,True,False,50000,0.01,lsqr,9.768360000000001
0.001,True,False,50000,0.01,sparse_cg,8.97126
0.001,True,False,50000,0.01,sag,9.59956
0.001,True,False,50000,0.01,saga,9.657779999999999
0.001,True,False,50000,0.1,auto,7.41156
0.001,True,False,50000,0.1,svd,7.41156
0.001,True,False,50000,0.1,cholesky,7.41156
0.001,True,False,50000,0.1,lsqr,9.9298
0.001,True,False,50000,0.1,sparse_cg,9.782700000000002
0.001,True,False,50000,0.1,sag,9.74188
0.001,True,False,50000,0.1,saga,9.755959999999998
0.001,False,True,5000,0.0001,auto,8.6786
0.001,False,True,5000,0.0001,svd,8.6786
0.001,False,True,5000,0.0001,cholesky,8.6786
0.001,False,True,5000,0.0001,lsqr,8.68862
0.001,False,True,5000,0.0001,sparse_cg,8.852100000000002
0.001,False,True,5000,0.0001,sag,8.87014
0.001,False,True,5000,0.0001,saga,9.0302
0.001,False,True,5000,0.001,auto,8.6786
0.001,False,True,5000,0.001,svd,8.6786
0.001,False,True,5000,0.001,cholesky,8.6786
0.001,False,True,5000,0.001,lsqr,8.852100000000002
0.001,False,True,5000,0.001,sparse_cg,9.725739999999998
0.001,False,True,5000,0.001,sag,9.651799999999998
0.001,False,True,5000,0.001,saga,9.9314
0.001,False,True,5000,0.01,auto,8.6786
0.001,False,True,5000,0.01,svd,8.6786
0.001,False,True,5000,0.01,cholesky,8.6786
0.001,False,True,5000,0.01,lsqr,13.264320000000001
0.001,False,True,5000,0.01,sparse_cg,15.0203
0.001,False,True,5000,0.01,sag,12.04866
0.001,False,True,5000,0.01,saga,14.409719999999998
0.001,False,True,5000,0.1,auto,8.6786
0.001,False,True,5000,0.1,svd,8.6786
0.001,False,True,5000,0.1,cholesky,8.6786
0.001,False,True,5000,0.1,lsqr,28.43476
0.001,False,True,5000,0.1,sparse_cg,49.917139999999996
0.001,False,True,5000,0.1,sag,15.792019999999999
0.001,False,True,5000,0.1,saga,18.8398
0.001,False,True,15000,0.0001,auto,8.6786
0.001,False,True,15000,0.0001,svd,8.6786
0.001,False,True,15000,0.0001,cholesky,8.6786
0.001,False,True,15000,0.0001,lsqr,8.68862
0.001,False,True,15000,0.0001,sparse_cg,8.852100000000002
0.001,False,True,15000,0.0001,sag,8.87016
0.001,False,True,15000,0.0001,saga,9.03024
0.001,False,True,15000,0.001,auto,8.6786
0.001,False,True,15000,0.001,svd,8.6786
0.001,False,True,15000,0.001,cholesky,8.6786
0.001,False,True,15000,0.001,lsqr,8.852100000000002
0.001,False,True,15000,0.001,sparse_cg,9.725739999999998
0.001,False,True,15000,0.001,sag,9.652359999999998
0.001,False,True,15000,0.001,saga,9.9309
0.001,False,True,15000,0.01,auto,8.6786
0.001,False,True,15000,0.01,svd,8.6786
0.001,False,True,15000,0.01,cholesky,8.6786
0.001,False,True,15000,0.01,lsqr,13.264320000000001
0.001,False,True,15000,0.01,sparse_cg,15.0203
0.001,False,True,15000,0.01,sag,12.044880000000001
0.001,False,True,15000,0.01,saga,14.4142
0.001,False,True,15000,0.1,auto,8.6786
0.001,False,True,15000,0.1,svd,8.6786
0.001,False,True,15000,0.1,cholesky,8.6786
0.001,False,True,15000,0.1,lsqr,28.43476
0.001,False,True,15000,0.1,sparse_cg,49.917139999999996
0.001,False,True,15000,0.1,sag,15.637720000000002
