n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,error
10,squared_error,10.0,6,1,log2,0.3,0.072
10,squared_error,10.0,6,5,NoneValue,0.0,0.034
10,squared_error,10.0,6,5,NoneValue,0.1,0.0339999999999999
10,squared_error,10.0,6,5,NoneValue,0.2,0.036
10,squared_error,10.0,6,5,NoneValue,0.3,0.034
10,squared_error,10.0,6,5,sqrt,0.0,0.088
10,squared_error,10.0,6,5,sqrt,0.1,0.084
10,squared_error,10.0,6,5,sqrt,0.2,0.098
10,squared_error,10.0,6,5,sqrt,0.3,0.1
10,squared_error,10.0,6,5,log2,0.0,0.09
10,squared_error,10.0,6,5,log2,0.1,0.094
10,squared_error,10.0,6,5,log2,0.2,0.09
10,squared_error,10.0,6,5,log2,0.3,0.096
10,squared_error,10.0,6,10,NoneValue,0.0,0.07
10,squared_error,10.0,6,10,NoneValue,0.1,0.078
10,squared_error,10.0,6,10,NoneValue,0.2,0.068
10,squared_error,10.0,6,10,NoneValue,0.3,0.066
10,squared_error,10.0,6,10,sqrt,0.0,0.12
10,squared_error,10.0,6,10,sqrt,0.1,0.118
10,squared_error,10.0,6,10,sqrt,0.2,0.118
10,squared_error,10.0,6,10,sqrt,0.3,0.12
10,squared_error,10.0,6,10,log2,0.0,0.122
10,squared_error,10.0,6,10,log2,0.1,0.13
10,squared_error,10.0,6,10,log2,0.2,0.1139999999999999
10,squared_error,10.0,6,10,log2,0.3,0.12
10,squared_error,10.0,6,20,NoneValue,0.0,0.15
10,squared_error,10.0,6,20,NoneValue,0.1,0.154
10,squared_error,10.0,6,20,NoneValue,0.2,0.152
10,squared_error,10.0,6,20,NoneValue,0.3,0.138
10,squared_error,10.0,6,20,sqrt,0.0,0.16
10,squared_error,10.0,6,20,sqrt,0.1,0.172
10,squared_error,10.0,6,20,sqrt,0.2,0.1659999999999999
10,squared_error,10.0,6,20,sqrt,0.3,0.172
10,squared_error,10.0,6,20,log2,0.0,0.1679999999999999
10,squared_error,10.0,6,20,log2,0.1,0.156
10,squared_error,10.0,6,20,log2,0.2,0.148
10,squared_error,10.0,6,20,log2,0.3,0.156
10,squared_error,10.0,10,1,NoneValue,0.0,0.0339999999999999
10,squared_error,10.0,10,1,NoneValue,0.1,0.036
10,squared_error,10.0,10,1,NoneValue,0.2,0.032
10,squared_error,10.0,10,1,NoneValue,0.3,0.032
10,squared_error,10.0,10,1,sqrt,0.0,0.098
10,squared_error,10.0,10,1,sqrt,0.1,0.09
10,squared_error,10.0,10,1,sqrt,0.2,0.092
10,squared_error,10.0,10,1,sqrt,0.3,0.092
10,squared_error,10.0,10,1,log2,0.0,0.086
10,squared_error,10.0,10,1,log2,0.1,0.0839999999999999
10,squared_error,10.0,10,1,log2,0.2,0.08
10,squared_error,10.0,10,1,log2,0.3,0.088
10,squared_error,10.0,10,5,NoneValue,0.0,0.032
10,squared_error,10.0,10,5,NoneValue,0.1,0.032
10,squared_error,10.0,10,5,NoneValue,0.2,0.032
10,squared_error,10.0,10,5,NoneValue,0.3,0.032
10,squared_error,10.0,10,5,sqrt,0.0,0.084
10,squared_error,10.0,10,5,sqrt,0.1,0.084
10,squared_error,10.0,10,5,sqrt,0.2,0.092
10,squared_error,10.0,10,5,sqrt,0.3,0.09
10,squared_error,10.0,10,5,log2,0.0,0.084
10,squared_error,10.0,10,5,log2,0.1,0.098
10,squared_error,10.0,10,5,log2,0.2,0.094
10,squared_error,10.0,10,5,log2,0.3,0.094
10,squared_error,10.0,10,10,NoneValue,0.0,0.072
10,squared_error,10.0,10,10,NoneValue,0.1,0.07
10,squared_error,10.0,10,10,NoneValue,0.2,0.068
10,squared_error,10.0,10,10,NoneValue,0.3,0.07
10,squared_error,10.0,10,10,sqrt,0.0,0.132
10,squared_error,10.0,10,10,sqrt,0.1,0.126
10,squared_error,10.0,10,10,sqrt,0.2,0.118
10,squared_error,10.0,10,10,sqrt,0.3,0.132
10,squared_error,10.0,10,10,log2,0.0,0.124
10,squared_error,10.0,10,10,log2,0.1,0.118
10,squared_error,10.0,10,10,log2,0.2,0.112
10,squared_error,10.0,10,10,log2,0.3,0.128
10,squared_error,10.0,10,20,NoneValue,0.0,0.144
