n_neighbors,weights,algorithm,leaf_size,p,MMRE-
5,uniform,ball_tree,40,1,216.32046
5,uniform,ball_tree,40,2,211.43721999999997
5,uniform,ball_tree,50,1,216.32046
5,uniform,ball_tree,50,2,211.43721999999997
5,uniform,ball_tree,100,1,216.32046
5,uniform,ball_tree,100,2,211.43721999999997
5,uniform,kd_tree,10,1,216.32046
5,uniform,kd_tree,10,2,211.43721999999997
5,uniform,kd_tree,20,1,216.32046
5,uniform,kd_tree,20,2,211.43721999999997
5,uniform,kd_tree,30,1,216.32046
5,uniform,kd_tree,30,2,211.43721999999997
5,uniform,kd_tree,40,1,216.32046
5,uniform,kd_tree,40,2,211.43721999999997
5,uniform,kd_tree,50,1,216.32046
5,uniform,kd_tree,50,2,211.43721999999997
5,uniform,kd_tree,100,1,216.32046
5,uniform,kd_tree,100,2,211.43721999999997
5,uniform,brute,10,1,216.32046
5,uniform,brute,10,2,211.43721999999997
5,uniform,brute,20,1,216.32046
5,uniform,brute,20,2,211.43721999999997
5,uniform,brute,30,1,216.32046
5,uniform,brute,30,2,211.43721999999997
5,uniform,brute,40,1,216.32046
5,uniform,brute,40,2,211.43721999999997
5,uniform,brute,50,1,216.32046
5,uniform,brute,50,2,211.43721999999997
5,uniform,brute,100,1,216.32046
5,uniform,brute,100,2,211.43721999999997
5,distance,auto,10,1,213.80102000000002
5,distance,auto,10,2,209.31896
5,distance,auto,20,1,213.80102000000002
5,distance,auto,20,2,209.31896
5,distance,auto,30,1,213.80102000000002
5,distance,auto,30,2,209.31896
5,distance,auto,40,1,213.80102000000002
5,distance,auto,40,2,209.31896
5,distance,auto,50,1,213.80102000000002
5,distance,auto,50,2,209.31896
5,distance,auto,100,1,213.80102000000002
5,distance,auto,100,2,209.31896
5,distance,ball_tree,10,1,213.80102000000002
5,distance,ball_tree,10,2,209.31896
5,distance,ball_tree,20,1,213.80102000000002
5,distance,ball_tree,20,2,209.31896
5,distance,ball_tree,30,1,213.80102000000002
5,distance,ball_tree,30,2,209.31896
5,distance,ball_tree,40,1,213.80102000000002
5,distance,ball_tree,40,2,209.31896
5,distance,ball_tree,50,1,213.80102000000002
5,distance,ball_tree,50,2,209.31896
5,distance,ball_tree,100,1,213.80102000000002
5,distance,ball_tree,100,2,209.31896
5,distance,kd_tree,10,1,213.80102000000002
5,distance,kd_tree,10,2,209.31896
5,distance,kd_tree,20,1,213.80102000000002
5,distance,kd_tree,20,2,209.31896
5,distance,kd_tree,30,1,213.80102000000002
5,distance,kd_tree,30,2,209.31896
5,distance,kd_tree,40,1,213.80102000000002
5,distance,kd_tree,40,2,209.31896
5,distance,kd_tree,50,1,213.80102000000002
5,distance,kd_tree,50,2,209.31896
5,distance,kd_tree,100,1,213.80102000000002
5,distance,kd_tree,100,2,209.31896
5,distance,brute,10,1,213.80102000000002
5,distance,brute,10,2,209.31896
5,distance,brute,20,1,213.80102000000002
5,distance,brute,20,2,209.31896
5,distance,brute,30,1,213.80102000000002
5,distance,brute,30,2,209.31896
5,distance,brute,40,1,213.80102000000002
5,distance,brute,40,2,209.31896
5,distance,brute,50,1,213.80102000000002
5,distance,brute,50,2,209.31896
5,distance,brute,100,1,213.80102000000002
5,distance,brute,100,2,209.31896
7,uniform,auto,10,1,214.97473999999997
7,uniform,auto,10,2,219.85479999999998
7,uniform,auto,20,1,214.97473999999997
7,uniform,auto,20,2,219.85479999999998
7,uniform,auto,30,1,214.97473999999997
7,uniform,auto,30,2,219.85479999999998
7,uniform,auto,40,1,214.97473999999997
7,uniform,auto,40,2,219.85479999999998
7,uniform,auto,50,1,214.97473999999997
7,uniform,auto,50,2,219.85479999999998
7,uniform,auto,100,1,214.97473999999997
7,uniform,auto,100,2,219.85479999999998
7,uniform,ball_tree,10,1,214.97473999999997
7,uniform,ball_tree,10,2,219.85479999999998
7,uniform,ball_tree,20,1,214.97473999999997
7,uniform,ball_tree,20,2,219.85479999999998
7,uniform,ball_tree,30,1,214.97473999999997
7,uniform,ball_tree,30,2,219.85479999999998
7,uniform,ball_tree,40,1,214.97473999999997
7,uniform,ball_tree,40,2,219.85479999999998
7,uniform,ball_tree,50,1,214.97473999999997
7,uniform,ball_tree,50,2,219.85479999999998
7,uniform,ball_tree,100,1,214.97473999999997
7,uniform,ball_tree,100,2,219.85479999999998
7,uniform,kd_tree,10,1,214.97473999999997
7,uniform,kd_tree,10,2,219.85479999999998
7,uniform,kd_tree,20,1,214.97473999999997
7,uniform,kd_tree,20,2,219.85479999999998
7,uniform,kd_tree,30,1,214.97473999999997
7,uniform,kd_tree,30,2,219.85479999999998
7,uniform,kd_tree,40,1,214.97473999999997
7,uniform,kd_tree,40,2,219.85479999999998
7,uniform,kd_tree,50,1,214.97473999999997
7,uniform,kd_tree,50,2,219.85479999999998
7,uniform,kd_tree,100,1,214.97473999999997
7,uniform,kd_tree,100,2,219.85479999999998
7,uniform,brute,10,1,214.97473999999997
7,uniform,brute,10,2,219.85479999999998
7,uniform,brute,20,1,214.97473999999997
7,uniform,brute,20,2,219.85479999999998
7,uniform,brute,30,1,214.97473999999997
7,uniform,brute,30,2,219.85479999999998
7,uniform,brute,40,1,214.97473999999997
7,uniform,brute,40,2,219.85479999999998
7,uniform,brute,50,1,214.97473999999997
7,uniform,brute,50,2,219.85479999999998
7,uniform,brute,100,1,214.97473999999997
7,uniform,brute,100,2,219.85479999999998
7,distance,auto,10,1,213.15030000000002
7,distance,auto,10,2,217.57512000000003
7,distance,auto,20,1,213.15030000000002
7,distance,auto,20,2,217.57512000000003
7,distance,auto,30,1,213.15030000000002
7,distance,auto,30,2,217.57512000000003
7,distance,auto,40,1,213.15030000000002
7,distance,auto,40,2,217.57512000000003
7,distance,auto,50,1,213.15030000000002
7,distance,auto,50,2,217.57512000000003
7,distance,auto,100,1,213.15030000000002
7,distance,auto,100,2,217.57512000000003
7,distance,ball_tree,10,1,213.15030000000002
7,distance,ball_tree,10,2,217.57512000000003
7,distance,ball_tree,20,1,213.15030000000002
7,distance,ball_tree,20,2,217.57512000000003
7,distance,ball_tree,30,1,213.15030000000002
