N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,10,2,5,None,0.2,4.57118
10,10,2,5,None,0.3,4.61212
10,10,2,5,sqrt,0,60.00692
10,10,2,5,sqrt,0.1,54.82302
10,10,2,5,sqrt,0.2,50.12154
10,10,2,5,sqrt,0.3,57.3867
10,10,2,5,log2,0,56.51526
10,10,2,5,log2,0.1,51.50668
10,10,2,5,log2,0.2,61.8213
10,10,2,5,log2,0.3,58.60044
10,10,2,10,None,0,4.71818
10,10,2,10,None,0.1,4.73858
10,10,2,10,None,0.2,4.72034
10,10,2,10,None,0.3,4.7613
10,10,2,10,sqrt,0,82.68864
10,10,2,10,sqrt,0.1,87.40902
10,10,2,10,sqrt,0.2,83.01498
10,10,2,10,sqrt,0.3,88.13956
10,10,2,10,log2,0,80.44622
10,10,2,10,log2,0.1,90.32672
10,10,2,10,log2,0.2,91.26142
10,10,2,10,log2,0.3,84.80414
10,10,2,20,None,0,5.16132
10,10,2,20,None,0.1,5.17182
10,10,2,20,None,0.2,5.09774
10,10,2,20,None,0.3,5.18582
10,10,2,20,sqrt,0,115.7176
10,10,2,20,sqrt,0.1,96.863
10,10,2,20,sqrt,0.2,129.10274
10,10,2,20,sqrt,0.3,112.71196
10,10,2,20,log2,0,135.96468
10,10,2,20,log2,0.1,107.14166
10,10,2,20,log2,0.2,142.28176
10,10,2,20,log2,0.3,148.31352
10,10,6,1,None,0,4.55976
10,10,6,1,None,0.1,4.53632
10,10,6,1,None,0.2,4.57602
10,10,6,1,None,0.3,4.60126
10,10,6,1,sqrt,0,38.96366
10,10,6,1,sqrt,0.1,30.87688
10,10,6,1,sqrt,0.2,38.16366
10,10,6,1,sqrt,0.3,38.01218
10,10,6,1,log2,0,31.4027
10,10,6,1,log2,0.1,28.758
10,10,6,1,log2,0.2,35.41352
10,10,6,1,log2,0.3,35.89104
10,10,6,5,None,0,4.552
10,10,6,5,None,0.1,4.58494
10,10,6,5,None,0.2,4.60182
10,10,6,5,None,0.3,4.5746
10,10,6,5,sqrt,0,54.50258
10,10,6,5,sqrt,0.1,57.75544
10,10,6,5,sqrt,0.2,61.26462
10,10,6,5,sqrt,0.3,55.43844
10,10,6,5,log2,0,60.26436
10,10,6,5,log2,0.1,43.54258
10,10,6,5,log2,0.2,59.00032
10,10,6,5,log2,0.3,49.66418
10,10,6,10,None,0,4.73936
10,10,6,10,None,0.1,4.76964
10,10,6,10,None,0.2,4.7882
10,10,6,10,None,0.3,4.73278
10,10,6,10,sqrt,0,81.77384
10,10,6,10,sqrt,0.1,84.8257
10,10,6,10,sqrt,0.2,84.63832
10,10,6,10,sqrt,0.3,95.44844
10,10,6,10,log2,0,82.63964
10,10,6,10,log2,0.1,84.4773
10,10,6,10,log2,0.2,76.19014
10,10,6,10,log2,0.3,65.3141
10,10,6,20,None,0,5.15182
10,10,6,20,None,0.1,5.17182
10,10,6,20,None,0.2,5.159
10,10,6,20,None,0.3,5.15548
10,10,6,20,sqrt,0,106.51494
10,10,6,20,sqrt,0.1,128.53588
10,10,6,20,sqrt,0.2,118.33618
10,10,6,20,sqrt,0.3,122.88528
10,10,6,20,log2,0,132.01344
10,10,6,20,log2,0.1,137.16688
10,10,6,20,log2,0.2,125.02436
10,10,6,20,log2,0.3,147.95866
10,10,10,1,None,0,4.50626
10,10,10,1,None,0.1,4.5434
10,10,10,1,None,0.2,4.51404
10,10,10,1,None,0.3,4.54782
10,10,10,1,sqrt,0,42.90442
10,10,10,1,sqrt,0.1,51.73744
10,10,10,1,sqrt,0.2,50.28578
10,10,10,1,sqrt,0.3,47.10452
10,10,10,1,log2,0,50.14304
10,10,10,1,log2,0.1,59.34326
10,10,10,1,log2,0.2,50.39798
10,10,10,1,log2,0.3,53.11776
10,10,10,5,None,0,4.56028
10,10,10,5,None,0.1,4.5906
10,10,10,5,None,0.2,4.60236
10,10,10,5,None,0.3,4.5485
10,10,10,5,sqrt,0,54.82034
10,10,10,5,sqrt,0.1,54.23762
10,10,10,5,sqrt,0.2,58.31602
10,10,10,5,sqrt,0.3,47.3496
10,10,10,5,log2,0,47.95686
10,10,10,5,log2,0.1,56.76796
